endTime,artistName,trackName,msPlayed
2023-03-10 17:30,Unknown Artist,Unknown Track,23707
2023-03-10 17:33,Yandel,Yandel 150,216148
2023-03-10 17:37,KAROL G,TQG,197933
2023-03-10 17:43,Ozuna,Hey Mor,8747
2023-03-10 17:46,Marshmello,El Merengue,189668
2023-03-10 17:48,Unknown Artist,Unknown Track,1816
2023-03-10 17:48,Unknown Artist,Unknown Track,5996
2023-03-10 17:48,LiL CaKe,MERCHO,152115
2023-03-10 17:53,Maná,Me Vale,271320
2023-03-10 17:57,Shakira,Antologia,254240
2023-03-10 18:00,Luis Miguel,Hasta Que Me Olvides,167345
2023-03-10 18:04,Los Enanitos Verdes,Lamento Boliviano,222226
2023-03-10 18:10,Unknown Artist,Unknown Track,3697
